zones,15,20,25,30,35,40,45,50
5,-0.100120898,-0.106729009,-0.105267361,-0.105029992,-0.102487132,-0.091849439,-0.092201042,-0.087768752
10,-0.100120898,-0.106729009,-0.105267361,-0.105029992,-0.102487132,-0.091849439,-0.092201042,-0.087768752
20,-0.100120898,-0.106729009,-0.105267361,-0.105029992,-0.102487132,-0.091849439,-0.092201042,-0.087768752
30,-0.104751095,-0.105574647,-0.104474389,-0.105817774,-0.10169901,-0.090892438,-0.086820345,-0.088963334
40,-0.09857771,-0.106798948,-0.10548967,-0.10759419,-0.106199396,-0.092298072,-0.092218419,-0.087755898
50,-0.100708548,-0.105465327,-0.105594186,-0.109029687,-0.108194035,-0.089112276,-0.094111035,-0.089287143
60,-0.099718447,-0.107365833,-0.105421007,-0.105507451,-0.087614651,-0.087108129,-0.092174989,-0.081318214
70,-0.09992375,-0.110340526,-0.108970914,-0.109959863,-0.10235536,-0.08832787,-0.09373156,-0.083929044
80,-0.10579069,-0.107039313,-0.107840515,-0.108122023,-0.096080687,-0.090293061,-0.088658492,-0.082442112
90,-0.109118116,-0.106839171,-0.104041871,-0.10298232,-0.109789913,-0.103096074,-0.096382487,-0.083563273
100,-0.096164766,-0.102348342,-0.104711799,-0.104847457,-0.105936537,-0.094330953,-0.091673273,-0.088067616
110,-0.099436634,-0.10956597,-0.108579383,-0.107145923,-0.106563973,-0.100309212,-0.097536127,-0.090879232
120,-0.099035942,-0.110156201,-0.108252797,-0.108603967,-0.105155789,-0.096977227,-0.094426747,-0.091318658
