zones,15,20,25,30,35,40,45,50
5,-0.055589061,-0.045167767,-0.080199259,-0.068889977,-0.063759901,-0.062823629,-0.057351936,-0.064406042
10,-0.055589061,-0.047986131,-0.080199259,-0.068889977,-0.063759901,-0.062823629,-0.057351936,-0.064406042
20,-0.055589061,-0.047986131,-0.080199259,-0.068889977,-0.063759901,-0.062823629,-0.057351936,-0.064406042
30,-0.091616474,-0.091281701,-0.082466369,-0.078792139,-0.0668196,-0.075392516,-0.087071377,-0.075847124
40,-0.068760379,-0.047267462,-0.022586429,-0.023069085,-0.016467838,-0.028548287,-0.030462357,-0.032122327
50,-0.068429341,-0.067608748,-0.046295324,-0.04805566,-0.041780988,-0.041969699,-0.056261175,-0.068460312
60,-0.084229645,-0.063530778,-0.038113795,-0.044508908,-0.032551874,-0.044474875,-0.04855729,-0.058446539
70,-0.05853899,-0.013917369,-0.012812748,-0.027683606,-0.030016746,-0.052638126,-0.043915431,-0.032840651
80,-0.077941263,-0.055305665,-0.029883012,-0.020042199,-0.021399253,-0.017971496,-0.026444709,-0.054322873
90,-0.067111359,-0.039493785,-0.034926697,-0.028472789,-0.020432453,-0.012807023,-0.014954631,-0.012596262
100,-0.067494652,-0.039222461,-0.025740061,-0.024155259,-0.0217516,-0.012388519,-0.018577931,-0.017425134
110,-0.049294963,-0.043521864,-0.021301495,-0.012887167,-0.009186796,-0.018283551,-0.036709685,-0.042137169
120,-0.051420858,-0.063118166,-0.030276992,-0.020232189,-0.022511674,-0.007014059,-0.032433427,-0.032515428
