zones,15,20,25,30,35,40,45,50
5,-0.266796181,-0.248424918,-0.024098327,-0.022848887,-0.023017957,-0.023801837,-0.022620563,-0.014251657
10,-0.266796181,-0.248424918,-0.024098327,-0.022848887,-0.023017957,-0.023801837,-0.022620563,-0.014251657
20,-0.266796181,-0.248424918,-0.024098327,-0.022848887,-0.023017957,-0.023801837,-0.022620563,-0.014251657
30,-0.029838945,-0.029016467,-0.015925302,-0.020724843,-0.022269069,-0.015725658,-0.011265153,-0.009411544
40,-0.24620457,-0.24620457,-0.027496405,-0.021098524,-0.021996345,-0.022078578,-0.010472635,-0.009283509
50,-0.24620457,-0.24620457,-0.027452227,-0.015416615,-0.015009184,-0.02326168,0.000234555,0.001888717
60,-0.256048911,-0.256048911,-0.030073779,-0.020857328,-0.019296452,-0.018832782,0.000817095,0.014162115
70,-0.24620457,-0.256048911,-0.029451335,-0.020795323,-0.015821326,-0.015751981,-0.013302272,-0.008988845
80,-0.028925285,-0.032150464,-0.032571128,-0.025254722,-0.017353283,-0.010046766,-0.011119431,-0.00073547
90,-0.256048911,-0.027565683,-0.027366793,-0.02725121,-0.016551204,-0.017943746,-0.015864952,0.010529126
100,-0.256048911,-0.027630988,-0.027821244,-0.028411291,-0.015384895,-0.016124633,-0.003215635,0.007846105
110,-0.034121586,-0.029252651,-0.03054235,-0.028406569,-0.032545589,-0.034354777,-0.007145368,0.007301045
120,-0.031038151,-0.027224421,-0.027225893,-0.01981355,-0.016923243,-0.021516418,-0.013573133,-0.006141719
