zones,15,20,25,30,35,40,45,50
5,-0.030677041,-0.065883474,-0.075169222,-0.090780608,-0.091115307,-0.102367555,-0.070181447,-0.082609993
10,-0.030677041,-0.065883474,-0.075169222,-0.090780608,-0.091115307,-0.102367555,-0.070181447,-0.082609993
20,-0.030677041,-0.065883474,-0.075169222,-0.090780608,-0.091115307,-0.102367555,-0.070181447,-0.082609993
30,-0.092928945,-0.157586152,-0.135560296,-0.135489278,-0.135586562,-0.114141992,-0.115039034,-0.115110112
40,-0.110690688,-0.168422617,-0.155401577,-0.155684542,-0.156369572,-0.15718199,-0.181075354,-0.150214607
50,-0.11750448,-0.106254517,-0.106669745,-0.131345138,-0.132331207,-0.132872099,-0.15472904,-0.122728934
60,-0.097591251,-0.129746764,-0.15472904,-0.15472904,-0.15472904,-0.15472904,-0.15472904,-0.15472904
70,-0.093974105,-0.12363503,-0.145690695,-0.11886149,-0.117986106,-0.120008558,-0.143067917,-0.14134033
80,-0.082636619,-0.131613035,-0.15472904,-0.15472904,-0.154729048,-0.15472904,-0.15472904,-0.15472904
90,-0.090144417,-0.129312945,-0.129904289,-0.15472904,-0.129833891,-0.129848174,-0.15472904,-0.15472904
100,-0.083933179,-0.131049871,-0.15472904,-0.15472904,-0.15472904,-0.15472904,-0.15472904,-0.122728934
110,-0.110725218,-0.110426363,-0.15472904,-0.15472904,-0.15472904,-0.15472904,-0.15472904,-0.15472904
120,-0.144407936,-0.140731614,-0.166425765,-0.166425765,-0.166425765,-0.166425765,-0.166425765,-0.166425765
