;zones;15;20;25;30;35;40;45;50
0;5;12.504881605078713;12.7920900738089;23.094069945011224;23.12138744526997;23.11769093587193;23.100552329470712;23.126379469771628;23.309355497198425
0;10;12.504881605078713;12.7920900738089;23.094069945011224;23.12138744526997;23.11769093587193;23.100552329470712;23.126379469771628;23.309355497198425
0;20;12.504881605078713;12.7920900738089;23.094069945011224;23.12138744526997;23.11769093587193;23.100552329470712;23.126379469771628;23.309355497198425
0;30;22.968558265293318;22.986540756304986;23.2727632766187;23.167827105145825;23.13406445421398;23.277128248269097;23.374651795396147;23.41517872241372
0;40;12.984774127878177;12.984774127878177;23.019775074480933;23.159657025813914;23.14002724357991;23.138229317810403;23.39197925595509;23.417978046639334
0;50;12.984774127878177;12.984774127878177;23.020740961713656;23.28388510195221;23.292793078343756;23.11236221985293;23.626079042100738;23.66224527914317
0;60;12.672899820231866;12.672899820231866;22.96342391046823;23.164930471349415;23.199057139847838;23.209194725253454;23.63881555610597;23.93058832328646
0;70;12.984774127878177;12.672899820231866;22.97703288151539;23.16628614190472;23.27503656762287;23.276552727409655;23.330112660636214;23.424420522769196
0;80;22.988534338205575;22.918019695751756;22.908822376909452;23.068786771122795;23.241542187213483;23.40129035976989;23.37783783489246;23.604870610872894
0;90;12.672899820231866;23.01826039987393;23.02260887247122;23.0251359612193;23.259078668937843;23.228632428822213;23.27408275903185;23.851157399020604
0;100;12.672899820231866;23.016832568666285;23.012672861207246;22.999772202642585;23.284578625844066;23.26840514648032;23.550644804219957;23.792496376840838
0;110;22.874923492773398;22.98137686624648;22.953179151295437;22.999875437327837;22.909380761627084;22.869825043648536;23.464725923891326;23.780579313420382
0;120;22.94233907027879;23.025721666012746;23.025689492488876;23.187751418344185;23.25094450135383;23.150520269065407;23.3241906113999;23.486669498980195
