;zones;15;20;25;30;35;40;45;50
0;5;-0.0007341679805450418;-0.03594060113451536;-0.045226349025446755;-0.06083773476476906;-0.06117243423762053;-0.07242468205227937;-0.04023857373667039;-0.0526671197792723
0;10;-0.0007341679805450418;-0.03594060113451536;-0.045226349025446755;-0.06083773476476906;-0.06117243423762053;-0.07242468205227937;-0.04023857373667039;-0.0526671197792723
0;20;-0.0007341679805450418;-0.03594060113451536;-0.045226349025446755;-0.06083773476476906;-0.06117243423762053;-0.07242468205227937;-0.04023857373667039;-0.0526671197792723
0;30;-0.06298607237857645;-0.1276432787317312;-0.10561742321476242;-0.10554640487669542;-0.10564368848484529;-0.0841991185039026;-0.08509616058707903;-0.08516723874947552
0;40;-0.0807478151084966;-0.1384797440718708;-0.12545870351141297;-0.12574166910889395;-0.1264266986624354;-0.1272391171308762;-0.1511324810975856;-0.12027173375285827
0;50;-0.08756160682217229;-0.07631164419617842;-0.07672687238794129;-0.10140226474223235;-0.1023883341735794;-0.10292922588445896;-0.12478616683873445;-0.09278606069222062
0;60;-0.06764837757367181;-0.09980389093780939;-0.12478616687750388;-0.12478616683936994;-0.12478616685671695;-0.1247861668388539;-0.12478616683873445;-0.12478616683873422
0;70;-0.06403123219410634;-0.0936921564921056;-0.11574782146386098;-0.08891861725102168;-0.08804323268764502;-0.09006568530336523;-0.11312504381303135;-0.11139745647199817
0;80;-0.052693746146850406;-0.10167016153285191;-0.12478616698705225;-0.12478616683989485;-0.12478617542389503;-0.12478616683873422;-0.12478616683873422;-0.12478616683873445
0;90;-0.060201544151015085;-0.09937007189801084;-0.0999614155794819;-0.12478616683874111;-0.09989101805091405;-0.09990530112431428;-0.12478616683873422;-0.12478616683873445
0;100;-0.05399030600361043;-0.10110699753616759;-0.1247861668387813;-0.1247861668393706;-0.12478616683874466;-0.12478616683873911;-0.12478616683873422;-0.09278606069223416
0;110;-0.08078234527505335;-0.08048349032730662;-0.12478616683873422;-0.12478616683873445;-0.12478616683873445;-0.12478616683873445;-0.12478616683873422;-0.12478616683873445
0;120;-0.11446506297457582;-0.11078874103228142;-0.13648289166478755;-0.13648289166501093;-0.13648289166499383;-0.13648289166478755;-0.13648289166478755;-0.13648289166478755
