;zones;15;20;25;30;35;40;45;50
0;5;-0.0511649888401462;-0.052748272945266184;-0.05032200278520782;-0.05095150850150931;-0.04266426615361407;-0.033842275610182604;-0.03333443289266014;-0.03416482184073688
0;10;-0.0511649888401462;-0.05279302141209463;-0.05032200278520782;-0.05095150850150931;-0.04266426615361407;-0.033842275610182604;-0.03333443289266014;-0.03416482184073688
0;20;-0.0511649888401462;-0.05279302141209463;-0.05032200278520782;-0.05095150850150931;-0.04266426615361407;-0.033842275610182604;-0.03333443289266014;-0.03416482184073688
0;30;-0.05025488654541954;-0.05594215255546442;-0.04134889571003608;-0.04176738291030602;-0.0417353648576646;-0.0455293581029006;-0.048455079419590374;-0.05033200761321588
0;40;-0.046631232970491654;-0.03367410335691168;-0.032751918411628056;-0.03198267129929544;-0.029614579849063905;-0.028742800829746784;-0.024803683558951573;-0.031005620747298623
0;50;-0.053385255056976;-0.03225675623096658;-0.03276870096518425;-0.03324568583518772;-0.02633832284173354;-0.03238520702853065;-0.029096167716019306;-0.029674881627611116
0;60;-0.05699817973456023;-0.04600898109981588;-0.043594084593006066;-0.041480856678511424;-0.03411845345727782;-0.03902487026917756;-0.03607884971257325;-0.03908787473137587
0;70;-0.031027840196673928;-0.020688421937601786;-0.023651726145714536;-0.025616110410403348;-0.020513167124940557;-0.02999860882316807;-0.023666914190867416;-0.025694537240807058
0;80;-0.04612736369890391;-0.035093976427586604;-0.030877508561315548;-0.02716071748662685;-0.026054017975400967;-0.02148753587998664;-0.021633090608923267;-0.015601500521269074
0;90;-0.05738589407940298;-0.056630720042345706;-0.04675054395376299;-0.0439082251200853;-0.04005440089079304;-0.03688239781114566;-0.03383158067221714;-0.03512093920246362
0;100;-0.054910331271102786;-0.05653364795726179;-0.045616383310234765;-0.041121402162646925;-0.03800589828458456;-0.0337949129101931;-0.031698113259095884;-0.037449881049758105
0;110;-0.027157574632315384;-0.023453673017941323;-0.03007400723907483;-0.025154462794623855;-0.01688441368560256;-0.009387373223599171;-0.022254215394388766;-0.030330609252603224
0;120;-0.05419240890188082;-0.060292836408846195;-0.04933881749268654;-0.039950180056318896;-0.0310248162024771;-0.026152296821260856;-0.039373015160267144;-0.03967603905812678
