zones,15,20,25,30,35,40,45,50
5,0.065668637,0.0766074,0.073908614,0.060907576,0.057843273,0.065207476,0.062830746,0.065854877
10,0.065668637,0.0766074,0.073908614,0.060907576,0.057843273,0.065207476,0.062830746,0.065854877
20,0.065668637,0.0766074,0.073908614,0.060907576,0.057843273,0.065207476,0.062830746,0.065854877
30,0.16663636,0.14454785,0.15776844,0.188856595,0.147825121,0.140643794,0.118209022,0.12902379
40,0.125456684,0.107416034,0.113771784,0.118122865,0.084584225,0.050536679,0.045434764,0.046777899
50,0.154803845,0.121399536,0.114675175,0.118026434,0.110655022,0.083864934,0.071425066,0.074880329
60,0.131627962,0.128959298,0.13008896,0.14183519,0.126075502,0.154609213,0.106014363,0.115572556
70,0.131569808,0.11860146,0.123383619,0.107130185,0.117461121,0.089741003,0.081580193,0.078397478
80,0.124287423,0.12273269,0.115851165,0.124208827,0.137786677,0.14511871,0.113289877,0.094807874
90,0.117854251,0.095863852,0.106055275,0.102882626,0.078430595,0.074352603,0.047890178,0.045550239
100,0.121666758,0.099974419,0.099060954,0.088184896,0.086645015,0.064973152,0.053689968,0.050821146
110,0.123086426,0.126348604,0.122772449,0.13194869,0.137319887,0.101954878,0.083495492,0.084160047
120,0.172489526,0.183578474,0.18694985,0.183509368,0.173297002,0.160213332,0.119167543,0.113996108
