zones,15,20,25,30,35,40,45,50
5,-0.252281801,-0.252281801,-0.252281801,-0.27523424,-0.27523424,-0.27523424,-0.27523424,-0.288513694
10,-0.252281801,-0.252281801,-0.252281801,-0.27523424,-0.27523424,-0.27523424,-0.27523424,-0.288513694
20,-0.252281801,-0.252281801,-0.252281801,-0.27523424,-0.27523424,-0.27523424,-0.27523424,-0.288513694
30,-0.108091444,-0.121395576,-0.121395576,-0.14679434,-0.14679434,-0.109782418,-0.109782418,-0.124532576
40,-0.109004594,-0.123285813,-0.123285813,-0.138237238,-0.150854214,-0.113826575,-0.113826575,-0.129847645
50,-0.102385451,-0.102385451,-0.115563704,-0.129315324,-0.140722154,-0.140722154,-0.104060426,-0.118671023
60,-0.115520358,-0.129296637,-0.140703032,-0.143687433,-0.155708046,-0.155708046,-0.118517639,-0.133854932
70,-0.102917445,-0.131836398,-0.144325738,-0.160584746,-0.160584746,-0.12339305,-0.12339305,-0.140105675
80,-0.114283992,-0.141607508,-0.141607508,-0.156634058,-0.158564872,-0.119871663,-0.117691179,-0.133693295
90,-0.115520358,-0.129296637,-0.129296637,-0.143687433,-0.142968766,-0.141744629,-0.103962883,-0.11852067
100,-0.115520358,-0.129296637,-0.129296637,-0.143687433,-0.155708046,-0.155708046,-0.118517639,-0.133854932
110,-0.114283992,-0.128032172,-0.141607508,-0.156634058,-0.169263629,-0.131482351,-0.131482351,-0.147545337
120,-0.117010565,-0.131836398,-0.131836398,-0.147376697,-0.14707801,-0.1464632,-0.109935097,-0.123493199
