;zones;15;20;25;30;35;40;45;50
0;5;6.536204387348799;6.375224534963495;6.63109411882685;6.578863040825201;6.542924560638825;6.530424318843832;6.124660128528729;6.088145668487365
0;10;6.536204387348799;6.375224534963495;6.63109411882685;6.578863040825201;6.542924560638825;6.530424318843832;6.124660128528729;6.088145668487365
0;20;6.536204387348799;6.375224534963495;6.63109411882685;6.578863040825201;6.542924560638825;6.530424318843832;6.124660128528729;6.088145668487365
0;30;5.94130090638478;6.239315210507384;6.200073830433908;6.240646967819058;6.033056952266238;6.075329096096058;5.784644337370556;5.794610487879979
0;40;6.158721121558715;6.503427196202343;6.5315708794131275;6.861117810146147;6.432417369556312;6.149105213215196;5.8213619281899245;5.791574598459905
0;50;6.199296413382342;6.724029052036517;6.530501665777302;7.018642398734678;6.6847176794212855;6.462816207609847;5.793585792854546;5.797342649575346
0;60;6.117206761740476;6.424220895376954;6.283397032722327;6.805017234520813;6.639050632710547;6.4497045686537575;6.168203586632736;6.251019121225477
0;70;6.679724066976828;7.141006291005234;7.027717495013771;6.749520631578477;6.6338225157763535;6.557043964605176;5.782707563172639;5.801893955160616
0;80;6.379364478349596;6.693077584276539;6.500760997022301;7.253460313559718;6.798419511109356;6.582238296794095;5.827480083729336;5.78846136253889
0;90;6.093520818804776;6.166582134131469;6.256357792118797;6.573003866849214;6.46337201594999;6.37659003778041;6.032554862182903;6.0644932392492406
0;100;6.117737050108804;6.246644778321146;6.366530239006886;6.979786586912976;6.517078327401015;6.198306355941289;6.0886196294665895;6.1578176277424035
0;110;6.5684552140218955;6.6085802562493905;6.312055270597153;6.623103363584202;6.713521799061153;6.203767108204337;5.924816472821854;5.722008040283956
0;120;5.97820919944602;6.079304825750287;6.003440089870709;6.418970058690308;6.121738671602211;6.143676959287667;5.674282864840974;5.700118799271674
