                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.465
Model:           ,OLS             ,  Adj. R-squared:    ,   0.098
Method:          ,Least Squares   ,  F-statistic:       ,   1.266
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):, 0.224  
Time:            ,11:46:24        ,  Log-Likelihood:    , -135.85
No. Observations:,    82          ,  AIC:               ,   339.7
Df Residuals:    ,    48          ,  BIC:               ,   421.5
Df Model:        ,    33          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   12.3697,    8.346,    1.482, 0.145,   -4.411,   29.151
SPI3_max      ,  -10.4536,    7.496,   -1.395, 0.170,  -25.525,    4.618
SPI6_max      ,    2.2963,    3.088,    0.744, 0.461,   -3.912,    8.505
SPI12_max     ,   -0.7132,    4.394,   -0.162, 0.872,   -9.548,    8.121
SPEI1_max     ,  -12.1492,    7.303,   -1.663, 0.103,  -26.834,    2.535
SPEI3_max     ,   10.7493,    6.991,    1.538, 0.131,   -3.307,   24.806
SPEI6_max     ,    0.6413,    3.829,    0.167, 0.868,   -7.057,    8.340
SPEI12_max    ,   -5.4889,    5.333,   -1.029, 0.308,  -16.211,    5.233
SPI1_median   ,    3.6466,    2.918,    1.250, 0.217,   -2.220,    9.513
SPI3_median   ,    4.2676,    6.486,    0.658, 0.514,   -8.772,   17.308
SPI6_median   ,   -0.8186,    1.023,   -0.800, 0.428,   -2.876,    1.238
SPI12_median  ,   -0.3535,    0.625,   -0.565, 0.574,   -1.611,    0.904
SPEI1_median  ,   -5.2016,    3.695,   -1.408, 0.166,  -12.630,    2.227
SPEI3_median  ,   -3.3374,    9.453,   -0.353, 0.726,  -22.345,   15.670
SPEI6_median  ,    3.2867,    3.341,    0.984, 0.330,   -3.432,   10.005
SPEI12_median ,    5.4107,    3.853,    1.404, 0.167,   -2.337,   13.159
SPI1_min      ,   -2.4814,    1.661,   -1.494, 0.142,   -5.822,    0.859
SPI3_min      ,    5.9060,    4.984,    1.185, 0.242,   -4.116,   15.928
SPI6_min      ,   -2.0921,    1.931,   -1.083, 0.284,   -5.976,    1.791
SPI12_min     ,    6.0856,    4.846,    1.256, 0.215,   -3.657,   15.828
SPEI1_min     ,    1.6107,    2.204,    0.731, 0.468,   -2.820,    6.042
SPEI3_min     ,   -1.8576,    3.317,   -0.560, 0.578,   -8.528,    4.812
SPEI6_min     ,   -5.7358,    5.275,   -1.087, 0.282,  -16.342,    4.870
SPEI12_min    ,   -6.2532,    4.166,   -1.501, 0.140,  -14.630,    2.123
SPI1_std      ,  -11.7261,    8.748,   -1.340, 0.186,  -29.316,    5.864
SPI3_std      ,    4.5677,    6.910,    0.661, 0.512,   -9.325,   18.460
SPI6_std      ,   -6.4809,    3.946,   -1.642, 0.107,  -14.415,    1.453
SPI12_std     ,    8.6149,   13.345,    0.646, 0.522,  -18.216,   35.446
SPEI1_std     ,    4.6589,    6.397,    0.728, 0.470,   -8.203,   17.521
SPEI3_std     ,    2.9165,    3.666,    0.795, 0.430,   -4.455,   10.288
SPEI6_std     ,    4.4638,   12.209,    0.366, 0.716,  -20.084,   29.011
SPEI12_std    ,  -14.2590,    9.121,   -1.563, 0.125,  -32.597,    4.079
VICI_veg_max  ,   -0.1680,    0.401,   -0.419, 0.677,   -0.974,    0.638
VICI_veg_mean ,    0.1547,    0.610,    0.253, 0.801,   -1.073,    1.382
VICI_veg_min  ,         0,        0,      nan,   nan,        0,        0
VICI_veg_std  ,    0.2140,    0.470,    0.456, 0.651,   -0.730,    1.158
VICI_veg_count,    0.0395,    0.792,    0.050, 0.960,   -1.553,    1.632
VICI_mat_max  ,   -0.0111,    0.035,   -0.317, 0.752,   -0.082,    0.059
VICI_mat_mean ,    0.0304,    0.139,    0.220, 0.827,   -0.248,    0.309
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,   -0.0104,    0.038,   -0.272, 0.787,   -0.087,    0.066
VICI_mat_count,    0.0030,    0.014,    0.212, 0.833,   -0.026,    0.032
Omnibus:      ,28.096,  Durbin-Watson:     ,   2.133
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  , 157.590
Skew:         , 0.750,  Prob(JB):          ,6.02e-35
Kurtosis:     , 9.624,  Cond. No.          ,1.33e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is  6e-28. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
