                      OLS Regression Results                     
Dep. Variable:   ,yield           ,  R-squared:         ,   0.660
Model:           ,OLS             ,  Adj. R-squared:    ,   0.405
Method:          ,Least Squares   ,  F-statistic:       ,   2.588
Date:            ,Thu, 23 Apr 2026,  Prob (F-statistic):,0.00111 
Time:            ,10:51:54        ,  Log-Likelihood:    , -166.86
No. Observations:,    85          ,  AIC:               ,   407.7
Df Residuals:    ,    48          ,  BIC:               ,   498.1
Df Model:        ,    36          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,  -31.8261,   96.266,   -0.331, 0.742, -225.382,  161.730
SPI3_max      ,   32.4854,  109.753,    0.296, 0.769, -188.188,  253.159
SPI6_max      ,   -7.7987,   14.535,   -0.537, 0.594,  -37.024,   21.426
SPI12_max     ,   -0.8958,   18.773,   -0.048, 0.962,  -38.641,   36.850
SPEI1_max     ,   19.0718,   64.417,    0.296, 0.768, -110.448,  148.592
SPEI3_max     ,  -23.3150,   56.975,   -0.409, 0.684, -137.872,   91.242
SPEI6_max     ,   13.0488,   36.098,    0.361, 0.719,  -59.530,   85.628
SPEI12_max    ,    8.0806,   14.927,    0.541, 0.591,  -21.932,   38.093
SPI1_median   ,   53.7239,  192.854,    0.279, 0.782, -334.035,  441.483
SPI3_median   ,   -5.7426,   21.174,   -0.271, 0.787,  -48.315,   36.830
SPI6_median   ,    2.2647,    5.966,    0.380, 0.706,   -9.730,   14.260
SPI12_median  ,    1.5653,    3.129,    0.500, 0.619,   -4.725,    7.856
SPEI1_median  ,  -56.5380,  193.642,   -0.292, 0.772, -445.882,  332.806
SPEI3_median  ,   11.0976,   29.877,    0.371, 0.712,  -48.974,   71.170
SPEI6_median  ,  -20.5215,   71.634,   -0.286, 0.776, -164.552,  123.509
SPEI12_median ,   -5.8245,   10.215,   -0.570, 0.571,  -26.364,   14.715
SPI1_min      ,   24.1424,   70.247,    0.344, 0.733, -117.099,  165.383
SPI3_min      ,  -20.7645,   56.865,   -0.365, 0.717, -135.099,   93.570
SPI6_min      ,    0.7237,   10.401,    0.070, 0.945,  -20.188,   21.636
SPI12_min     ,    4.4169,   28.660,    0.154, 0.878,  -53.207,   62.041
SPEI1_min     ,    8.0144,   16.299,    0.492, 0.625,  -24.757,   40.786
SPEI3_min     ,    2.3937,   19.478,    0.123, 0.903,  -36.769,   41.557
SPEI6_min     ,   -9.3599,   30.329,   -0.309, 0.759,  -70.341,   51.621
SPEI12_min    ,   12.3703,   47.406,    0.261, 0.795,  -82.946,  107.686
SPI1_std      ,   60.7486,  180.744,    0.336, 0.738, -302.661,  424.158
SPI3_std      ,  -21.8231,   54.441,   -0.401, 0.690, -131.284,   87.638
SPI6_std      ,    1.9942,   26.605,    0.075, 0.941,  -51.499,   55.487
SPI12_std     ,   22.9916,   85.533,    0.269, 0.789, -148.983,  194.966
SPEI1_std     ,    0.0631,   37.328,    0.002, 0.999,  -74.989,   75.115
SPEI3_std     ,  -33.5126,  191.028,   -0.175, 0.861, -417.600,  350.575
SPEI6_std     ,  -17.9341,   69.655,   -0.257, 0.798, -157.986,  122.117
SPEI12_std    ,  -19.5173,   71.742,   -0.272, 0.787, -163.764,  124.729
VICI_veg_max  ,    0.0634,    0.265,    0.239, 0.812,   -0.470,    0.596
VICI_veg_mean ,    0.0545,    0.180,    0.303, 0.763,   -0.308,    0.417
VICI_veg_min  ,    0.8884,    2.854,    0.311, 0.757,   -4.851,    6.628
VICI_veg_std  ,   -0.0125,    0.372,   -0.034, 0.973,   -0.760,    0.734
VICI_veg_count,   -0.5539,    2.204,   -0.251, 0.803,   -4.985,    3.878
VICI_mat_max  ,   -0.2315,    0.718,   -0.323, 0.748,   -1.675,    1.212
VICI_mat_mean ,   -0.2549,    0.798,   -0.319, 0.751,   -1.860,    1.350
VICI_mat_min  ,         0,        0,      nan,   nan,        0,        0
VICI_mat_std  ,   -0.0985,    0.306,   -0.322, 0.749,   -0.714,    0.517
VICI_mat_count,    0.0051,    0.018,    0.282, 0.779,   -0.032,    0.042
Omnibus:      , 7.706,  Durbin-Watson:     ,   2.190
Prob(Omnibus):, 0.021,  Jarque-Bera (JB):  ,  15.356
Skew:         , 0.036,  Prob(JB):          ,0.000463
Kurtosis:     , 5.081,  Cond. No.          ,1.31e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 1.21e-27. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
