;zones;15;20;25;30;35;40;45;50
0;5;4.3671211053773265;4.063610419614796;2.900956564304103;3.337570043854484;3.1687481479430843;3.1330844474423287;2.826391358887684;2.8044368200397685
0;10;4.3671211053773265;4.063610419614796;2.900956564304103;3.337570043854484;3.1687481479430843;3.1330844474423287;2.826391358887684;2.8044368200397685
0;20;4.3671211053773265;4.063610419614796;2.900956564304103;3.337570043854484;3.1687481479430843;3.1330844474423287;2.826391358887684;2.8044368200397685
0;30;2.9717718735386875;2.4623855727968262;2.98509356025497;3.459777778527856;4.130936044894459;3.6734963457316843;3.8921562208165765;3.485721034545969
0;40;3.0278907090630827;2.718880978611383;3.1998760900419327;2.7335600119021493;3.212771362922581;3.736609773493001;3.1948310963357116;3.122523034841884
0;50;3.569476571077343;2.9438704312867117;3.377160378363577;2.980961301390316;3.5233649275456216;4.232264693081802;3.297395623907782;3.2292083802362237
0;60;2.715859095337513;2.4255473809757504;3.1064549934778003;3.1445778326283036;3.3913769383608052;3.597004039463507;3.0942065480528695;2.956599312093874
0;70;3.100026774412064;2.905399081577887;3.3516128429746175;3.535362351751452;3.8863218883296113;3.9696406470841126;3.3756646237747847;3.273754548158637
0;80;2.869375387259189;3.2186684606513642;3.805888543566148;3.936749253033348;3.988613409755935;4.325407020505374;4.046855087308749;3.3764251556755576
0;90;3.262486358322722;2.46782435886873;3.158175034871091;3.3291080640306254;3.131943251979098;3.7126275649396803;3.3477361388599887;3.2337782570775175
0;100;3.0854538970919196;2.5323106751190707;2.8436183608883487;3.1513366255252953;3.151881285510961;3.2459120573214415;3.318240639276414;2.9823875325364613
0;110;3.3217943288534815;3.032367813805901;2.7725877331002877;3.3331084943771927;3.129595281030923;3.5316059414026597;3.3620439008304146;3.654687835732446
0;120;3.468830011959434;2.9890497499036073;3.0781643420559766;3.287240961236787;3.320080780689308;3.5511926821116617;3.521596038672543;3.6665414228995448
