                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.510
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.221
Method:          ,Least Squares   ,  F-statistic:                ,   1.762
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         ,0.0174  
Time:            ,10:24:50        ,  Log-Likelihood:             , -190.54
No. Observations:,   113          ,  AIC:                        ,   465.1
Df Residuals:    ,    71          ,  BIC:                        ,   579.6
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,    9.4052,    6.469,    1.454, 0.150,   -3.493,   22.303
SPI3_max      ,    8.9490,    5.877,    1.523, 0.132,   -2.770,   20.668
SPI6_max      ,    6.8654,   14.472,    0.474, 0.637,  -21.992,   35.723
SPI12_max     ,   -2.7517,    2.553,   -1.078, 0.285,   -7.842,    2.338
SPEI1_max     ,   11.3809,   11.727,    0.971, 0.335,  -12.001,   34.763
SPEI3_max     ,  -11.8785,   16.337,   -0.727, 0.470,  -44.453,   20.696
SPEI6_max     ,   -4.6432,   13.472,   -0.345, 0.731,  -31.506,   22.219
SPEI12_max    ,    2.6362,   13.163,    0.200, 0.842,  -23.609,   28.882
SPI1_median   ,   -4.4420,    5.243,   -0.847, 0.400,  -14.896,    6.012
SPI3_median   ,    9.3051,    4.161,    2.236, 0.028,    1.008,   17.603
SPI6_median   ,    0.4913,    0.929,    0.529, 0.599,   -1.361,    2.344
SPI12_median  ,    0.2383,    2.863,    0.083, 0.934,   -5.470,    5.947
SPEI1_median  ,   11.4809,    3.966,    2.895, 0.005,    3.573,   19.389
SPEI3_median  ,  -16.2723,    7.572,   -2.149, 0.035,  -31.371,   -1.174
SPEI6_median  ,   -1.3603,    6.345,   -0.214, 0.831,  -14.012,   11.292
SPEI12_median ,    0.1756,   11.403,    0.015, 0.988,  -22.561,   22.912
SPI1_min      ,  -13.0254,    5.488,   -2.373, 0.020,  -23.968,   -2.083
SPI3_min      ,  -10.4672,   11.548,   -0.906, 0.368,  -33.493,   12.558
SPI6_min      ,   -6.1963,   10.227,   -0.606, 0.547,  -26.588,   14.195
SPI12_min     ,    0.5544,    3.605,    0.154, 0.878,   -6.634,    7.742
SPEI1_min     ,    5.3143,    5.469,    0.972, 0.335,   -5.591,   16.219
SPEI3_min     ,   13.9765,   12.244,    1.141, 0.258,  -10.438,   38.391
SPEI6_min     ,   -2.0308,    6.969,   -0.291, 0.772,  -15.926,   11.865
SPEI12_min    ,   -2.5056,    8.486,   -0.295, 0.769,  -19.426,   14.415
SPI1_std      ,  -39.6417,   15.179,   -2.612, 0.011,  -69.908,   -9.376
SPI3_std      ,  -18.1009,   19.887,   -0.910, 0.366,  -57.754,   21.552
SPI6_std      ,  -13.4274,   25.661,   -0.523, 0.602,  -64.595,   37.740
SPI12_std     ,    6.8491,    5.778,    1.185, 0.240,   -4.672,   18.370
SPEI1_std     ,    7.9719,   18.490,    0.431, 0.668,  -28.896,   44.840
SPEI3_std     ,   21.7417,   26.698,    0.814, 0.418,  -31.492,   74.976
SPEI6_std     ,    3.5116,   13.733,    0.256, 0.799,  -23.871,   30.895
SPEI12_std    ,  -21.0926,   15.953,   -1.322, 0.190,  -52.902,   10.717
SWIA_veg_max  ,   -0.0110,    0.141,   -0.078, 0.938,   -0.291,    0.269
SWIA_veg_mean ,   -0.0734,    0.164,   -0.447, 0.656,   -0.401,    0.254
SWIA_veg_min  ,    0.0074,    0.086,    0.086, 0.932,   -0.165,    0.180
SWIA_veg_std  ,   -0.0615,    0.182,   -0.338, 0.737,   -0.424,    0.301
SWIA_veg_count,   -0.3345,    1.796,   -0.186, 0.853,   -3.915,    3.246
SWIA_mat_max  ,    0.2187,    0.473,    0.462, 0.645,   -0.725,    1.162
SWIA_mat_mean ,    0.0782,    0.240,    0.326, 0.745,   -0.399,    0.556
SWIA_mat_min  ,   -0.2208,    0.254,   -0.869, 0.388,   -0.727,    0.286
SWIA_mat_std  ,   -0.7705,    0.651,   -1.183, 0.241,   -2.069,    0.528
SWIA_mat_count,   -0.9299,    1.228,   -0.758, 0.451,   -3.377,    1.518
Omnibus:      ,15.796,  Durbin-Watson:     ,   2.007
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  57.228
Skew:         , 0.213,  Prob(JB):          ,3.74e-13
Kurtosis:     , 6.460,  Cond. No.          ,4.99e+04

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 4.99e+04. This might indicate that there are
strong multicollinearity or other numerical problems.
