                          OLS Regression Results                          
Dep. Variable:   ,yield           ,  R-squared (uncentered):     ,   0.353
Model:           ,OLS             ,  Adj. R-squared (uncentered):,  -0.019
Method:          ,Least Squares   ,  F-statistic:                ,  0.9489
Date:            ,Fri, 24 Apr 2026,  Prob (F-statistic):         , 0.566  
Time:            ,11:20:56        ,  Log-Likelihood:             , -191.30
No. Observations:,   115          ,  AIC:                        ,   466.6
Df Residuals:    ,    73          ,  BIC:                        ,   581.9
Df Model:        ,    42          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
              ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
SPI1_max      ,   -0.7841,    3.776,   -0.208, 0.836,   -8.311,    6.742
SPI3_max      ,    1.8098,    8.598,    0.210, 0.834,  -15.326,   18.945
SPI6_max      ,   -2.6281,    4.755,   -0.553, 0.582,  -12.105,    6.849
SPI12_max     ,    2.7237,    4.455,    0.611, 0.543,   -6.155,   11.603
SPEI1_max     ,    5.0750,    5.523,    0.919, 0.361,   -5.933,   16.083
SPEI3_max     ,   -3.9073,    8.488,   -0.460, 0.647,  -20.824,   13.009
SPEI6_max     ,   -3.8174,    5.592,   -0.683, 0.497,  -14.963,    7.328
SPEI12_max    ,  -10.5723,   12.807,   -0.825, 0.412,  -36.098,   14.953
SPI1_median   ,   -2.7017,    3.269,   -0.826, 0.411,   -9.217,    3.814
SPI3_median   ,    1.5382,   13.721,    0.112, 0.911,  -25.808,   28.884
SPI6_median   ,   -0.9924,    6.238,   -0.159, 0.874,  -13.424,   11.439
SPI12_median  ,    0.3318,    0.796,    0.417, 0.678,   -1.255,    1.918
SPEI1_median  ,    7.0566,    4.405,    1.602, 0.114,   -1.723,   15.837
SPEI3_median  ,   -7.3197,   12.629,   -0.580, 0.564,  -32.488,   17.849
SPEI6_median  ,    2.9388,    5.264,    0.558, 0.578,   -7.553,   13.430
SPEI12_median ,    1.2513,    6.497,    0.193, 0.848,  -11.697,   14.200
SPI1_min      ,   -1.2502,    4.525,   -0.276, 0.783,  -10.269,    7.769
SPI3_min      ,   -7.4153,    5.824,   -1.273, 0.207,  -19.023,    4.192
SPI6_min      ,   -2.1699,    2.295,   -0.946, 0.348,   -6.744,    2.404
SPI12_min     ,    0.8731,    1.761,    0.496, 0.622,   -2.637,    4.383
SPEI1_min     ,    3.7174,    7.708,    0.482, 0.631,  -11.645,   19.080
SPEI3_min     ,    7.6634,    7.856,    0.976, 0.333,   -7.993,   23.320
SPEI6_min     ,    5.4457,    6.500,    0.838, 0.405,   -7.509,   18.400
SPEI12_min    ,    7.0530,   10.351,    0.681, 0.498,  -13.577,   27.683
SPI1_std      ,    3.5098,    7.226,    0.486, 0.629,  -10.891,   17.910
SPI3_std      ,  -19.9416,   14.362,   -1.389, 0.169,  -48.564,    8.681
SPI6_std      ,   -7.0240,    6.194,   -1.134, 0.261,  -19.369,    5.321
SPI12_std     ,    4.3622,    4.233,    1.030, 0.306,   -4.075,   12.799
SPEI1_std     ,   -9.8232,   10.334,   -0.951, 0.345,  -30.420,   10.773
SPEI3_std     ,   23.6304,   21.712,    1.088, 0.280,  -19.641,   66.902
SPEI6_std     ,   18.0996,   15.980,    1.133, 0.261,  -13.748,   49.947
SPEI12_std    ,   26.4570,   31.980,    0.827, 0.411,  -37.279,   90.193
SWIA_veg_max  ,   -0.0337,    0.162,   -0.208, 0.836,   -0.357,    0.290
SWIA_veg_mean ,   -0.0311,    0.138,   -0.225, 0.823,   -0.307,    0.245
SWIA_veg_min  ,    0.0138,    0.104,    0.133, 0.895,   -0.193,    0.221
SWIA_veg_std  ,    0.0182,    0.286,    0.064, 0.949,   -0.552,    0.588
SWIA_veg_count,    0.3295,    0.600,    0.549, 0.584,   -0.866,    1.525
SWIA_mat_max  ,   -0.0855,    0.283,   -0.302, 0.763,   -0.649,    0.478
SWIA_mat_mean ,    0.1458,    0.193,    0.754, 0.453,   -0.240,    0.531
SWIA_mat_min  ,    0.0177,    0.126,    0.141, 0.889,   -0.234,    0.269
SWIA_mat_std  ,    0.2876,    0.358,    0.803, 0.424,   -0.426,    1.001
SWIA_mat_count,   -1.0824,    2.350,   -0.461, 0.646,   -5.767,    3.602
Omnibus:      ,27.340,  Durbin-Watson:     ,   1.981
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  59.082
Skew:         , 0.934,  Prob(JB):          ,1.48e-13
Kurtosis:     , 5.973,  Cond. No.          ,2.72e+04

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 2.72e+04. This might indicate that there are
strong multicollinearity or other numerical problems.
